Model,Profile,Total_Pairs,Both_Pass_a,Broke_It_b,Fluke_Recovery_c,Both_Fail_d,Discordant_Pairs,Baseline_Acc,Exp_Acc,Risk_Diff,Risk_Diff_CI_Low,Risk_Diff_CI_High,Odds_Ratio,OR_CI_Low,OR_CI_High,Test_Used,Statistic,P_Value,Holm_Threshold,Significant,Power_Limit
9router_cx_gpt-5.5,colorblind_deuteranomaly,160,154,2,0,4,2,97.5%,96.2%,0.0125,-0.0117,0.0433,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.003846,No,ceiling
9router_cx_gpt-5.6-luna,elder_text_heavy,144,129,10,4,1,14,96.5%,92.4%,0.0417,-0.0110,0.0987,2.500,0.721,10.920,Exact Binomial (n=14),,0.179565,0.002632,No,ceiling
9router_cx_gpt-5.6-luna,elder_zoom_heavy,149,142,2,4,1,6,96.6%,98.0%,-0.0134,-0.0549,0.0243,0.500,0.045,3.489,Exact Binomial (n=6),,0.687500,0.006250,No,ceiling
9router_cx_gpt-5.6-luna,elder_combo_max,113,104,7,1,1,8,98.2%,92.9%,0.0531,0.0033,0.1142,7.000,0.899,315.483,Exact Binomial (n=8),,0.070312,0.001852,No,ceiling
9router_cx_gpt-5.6-luna,elder_combo_mid,125,112,8,4,1,12,96.0%,92.8%,0.0320,-0.0256,0.0932,2.000,0.536,9.076,Exact Binomial (n=12),,0.387695,0.003333,No,ceiling
9router_cx_gpt-5.6-luna,colorblind_deuteranomaly,160,149,3,6,2,9,95.0%,96.9%,-0.0188,-0.0626,0.0215,0.500,0.081,2.341,Exact Binomial (n=9),,0.507812,0.005556,No,none
9router_cx_gpt-5.6-sol,elder_text_heavy,144,141,2,0,1,2,99.3%,97.9%,0.0139,-0.0121,0.0495,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.004167,No,ceiling
9router_cx_gpt-5.6-sol,elder_zoom_heavy,149,148,0,0,1,0,99.3%,99.3%,0.0000,-0.0248,0.0248,,,,N/A (no discordant pairs),,1.000000,0.012500,No,ceiling
9router_cx_gpt-5.6-sol,elder_combo_max,113,108,4,1,0,5,99.1%,96.5%,0.0265,-0.0189,0.0793,4.000,0.396,196.990,Exact Binomial (n=5),,0.375000,0.003125,No,ceiling
9router_cx_gpt-5.6-sol,elder_combo_mid,125,123,1,0,1,1,99.2%,98.4%,0.0080,-0.0210,0.0441,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.016667,No,ceiling
9router_cx_gpt-5.6-sol,colorblind_deuteranomaly,160,155,1,1,3,2,97.5%,97.5%,0.0000,-0.0281,0.0281,1.000,0.013,78.497,Exact Binomial (n=2),,1.000000,0.025000,No,ceiling
9router_cx_gpt-5.6-terra,elder_text_heavy,144,139,4,0,1,4,99.3%,96.5%,0.0278,-0.0010,0.0696,inf,0.660,inf,Exact Binomial (n=4),,0.125000,0.002273,No,ceiling
9router_cx_gpt-5.6-terra,elder_zoom_heavy,149,146,2,0,1,2,99.3%,98.0%,0.0134,-0.0118,0.0479,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.004545,No,ceiling
9router_cx_gpt-5.6-terra,elder_combo_max,113,107,5,0,1,5,99.1%,94.7%,0.0442,0.0058,0.0997,inf,0.916,inf,Exact Binomial (n=5),,0.062500,0.001786,No,ceiling
9router_cx_gpt-5.6-terra,elder_combo_mid,125,118,6,0,1,6,99.2%,94.4%,0.0480,0.0112,0.1010,inf,1.177,inf,Exact Binomial (n=6),,0.031250,0.001667,No,ceiling
9router_cx_gpt-5.6-terra,colorblind_deuteranomaly,160,155,1,0,4,1,97.5%,96.9%,0.0062,-0.0168,0.0334,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.050000,No,ceiling
