Sample,Model,Profile,Total_Pairs,Both_Pass_a,Broke_It_b,Fluke_Recovery_c,Both_Fail_d,Discordant_Pairs,Baseline_Acc,Exp_Acc,Risk_Diff,Risk_Diff_CI_Low,Risk_Diff_CI_High,Odds_Ratio,OR_CI_Low,OR_CI_High,Test_Used,Statistic,P_Value,Holm_Threshold,Significant,Power_Limit
full,local_ferret-ui-llama8b,elder_zoom_heavy,144,124,5,6,9,11,89.6%,90.3%,-0.0069,-0.0565,0.0418,0.833,0.201,3.277,Exact Binomial (n=11),,1.000000,0.016667,No,none
full,local_ferret-ui-llama8b,elder_combo_max,111,93,3,9,6,12,86.5%,91.9%,-0.0541,-0.1214,0.0081,0.333,0.058,1.336,Exact Binomial (n=12),,0.145996,0.000847,No,none
full,local_ferret-ui-llama8b,elder_combo_mid,123,103,5,5,10,10,87.8%,87.8%,0.0000,-0.0546,0.0546,1.000,0.230,4.345,Exact Binomial (n=10),,1.000000,0.025000,No,none
full,local_ferret-ui-llama8b,colorblind_deuteranomaly,153,132,4,3,14,7,88.9%,88.2%,0.0065,-0.0314,0.0454,1.333,0.226,9.102,Exact Binomial (n=7),,1.000000,0.050000,No,none
primary,9router_ag_gemini-3-flash-agent,elder_text_heavy,139,134,5,0,0,5,100.0%,96.4%,0.0360,0.0021,0.0814,inf,0.916,inf,Exact Binomial (n=5),,0.062500,0.000769,No,ceiling
primary,9router_ag_gemini-3-flash-agent,elder_zoom_heavy,144,143,1,0,0,1,100.0%,99.3%,0.0069,-0.0197,0.0383,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001852,No,ceiling
primary,9router_ag_gemini-3-flash-agent,elder_combo_max,111,108,3,0,0,3,100.0%,97.3%,0.0270,-0.0109,0.0765,inf,0.413,inf,Exact Binomial (n=3),,0.250000,0.000909,No,ceiling
primary,9router_ag_gemini-3-flash-agent,elder_combo_mid,123,121,2,0,0,2,100.0%,98.4%,0.0163,-0.0162,0.0574,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.001042,No,ceiling
primary,9router_ag_gemini-3-flash-agent,colorblind_deuteranomaly,136,134,1,0,1,1,99.3%,98.5%,0.0074,-0.0193,0.0407,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001923,No,ceiling
primary,9router_ag_gemini-3-flash,elder_text_heavy,139,137,1,0,1,1,99.3%,98.6%,0.0072,-0.0190,0.0398,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.002000,No,ceiling
primary,9router_ag_gemini-3-flash,elder_zoom_heavy,144,141,2,0,1,2,99.3%,97.9%,0.0139,-0.0121,0.0495,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.001064,No,ceiling
primary,9router_ag_gemini-3-flash,elder_combo_max,111,107,3,1,0,4,99.1%,97.3%,0.0180,-0.0263,0.0681,3.000,0.241,157.492,Exact Binomial (n=4),,0.625000,0.001351,No,ceiling
primary,9router_ag_gemini-3-flash,elder_combo_mid,123,120,2,1,0,3,99.2%,98.4%,0.0081,-0.0303,0.0498,2.000,0.104,117.994,Exact Binomial (n=3),,1.000000,0.002083,No,ceiling
primary,9router_ag_gemini-3-flash,colorblind_deuteranomaly,136,134,0,1,1,1,98.5%,99.3%,-0.0074,-0.0407,0.0193,0.000,0.000,39.000,Exact Binomial (n=1),,1.000000,0.002174,No,ceiling
primary,9router_ag_gemini-3.5-flash-low,elder_text_heavy,139,135,2,2,0,4,98.6%,98.6%,0.0000,-0.0382,0.0382,1.000,0.072,13.796,Exact Binomial (n=4),,1.000000,0.002273,No,ceiling
primary,9router_ag_gemini-3.5-flash-low,elder_zoom_heavy,144,141,1,2,0,3,98.6%,99.3%,-0.0069,-0.0428,0.0261,0.500,0.008,9.605,Exact Binomial (n=3),,1.000000,0.002381,No,ceiling
primary,9router_ag_gemini-3.5-flash-low,elder_combo_max,111,107,2,2,0,4,98.2%,98.2%,0.0000,-0.0474,0.0474,1.000,0.072,13.796,Exact Binomial (n=4),,1.000000,0.002500,No,ceiling
primary,9router_ag_gemini-3.5-flash-low,elder_combo_mid,123,120,1,2,0,3,98.4%,99.2%,-0.0081,-0.0498,0.0303,0.500,0.008,9.605,Exact Binomial (n=3),,1.000000,0.002632,No,ceiling
primary,9router_ag_gemini-3.5-flash-low,colorblind_deuteranomaly,136,132,1,1,2,2,97.8%,97.8%,0.0000,-0.0331,0.0331,1.000,0.013,78.497,Exact Binomial (n=2),,1.000000,0.002778,No,ceiling
primary,9router_ag_gemini-pro-agent,elder_text_heavy,139,132,3,2,2,5,97.1%,96.4%,0.0072,-0.0316,0.0483,1.500,0.172,17.959,Exact Binomial (n=5),,1.000000,0.002941,No,ceiling
primary,9router_ag_gemini-pro-agent,elder_zoom_heavy,144,137,3,3,1,6,97.2%,97.2%,0.0000,-0.0410,0.0410,1.000,0.134,7.466,Exact Binomial (n=6),,1.000000,0.003125,No,ceiling
primary,9router_ag_gemini-pro-agent,elder_combo_max,111,100,7,3,1,10,96.4%,92.8%,0.0360,-0.0235,0.1006,2.333,0.533,13.984,Exact Binomial (n=10),,0.343750,0.000980,No,ceiling
primary,9router_ag_gemini-pro-agent,elder_combo_mid,123,115,4,2,2,6,96.7%,95.1%,0.0163,-0.0288,0.0657,2.000,0.287,22.110,Exact Binomial (n=6),,0.687500,0.001429,No,ceiling
primary,9router_ag_gemini-pro-agent,colorblind_deuteranomaly,136,128,3,4,1,7,96.3%,97.1%,-0.0074,-0.0537,0.0373,0.750,0.110,4.433,Exact Binomial (n=7),,1.000000,0.003333,No,ceiling
primary,9router_cx_gpt-5.4-mini,elder_text_heavy,139,39,13,6,81,19,37.4%,32.4%,0.0504,-0.0105,0.1107,2.167,0.768,6.952,Exact Binomial (n=19),,0.167068,0.000893,No,floor
primary,9router_cx_gpt-5.4-mini,elder_zoom_heavy,144,43,9,9,83,18,36.1%,36.1%,0.0000,-0.0574,0.0574,1.000,0.352,2.843,Exact Binomial (n=18),,1.000000,0.003571,No,floor
primary,9router_cx_gpt-5.4-mini,elder_combo_max,111,34,17,12,48,29,45.9%,41.4%,0.0450,-0.0489,0.1375,1.417,0.638,3.251,"Asymptotic (Edwards' correction, n=29)",0.5517,0.457614,0.001020,No,floor
primary,9router_cx_gpt-5.4-mini,elder_combo_mid,123,34,17,7,65,24,41.5%,33.3%,0.0813,0.0045,0.1564,2.429,0.957,6.927,Exact Binomial (n=24),,0.063915,0.000806,No,floor
primary,9router_cx_gpt-5.4-mini,colorblind_deuteranomaly,136,39,8,6,83,14,34.6%,33.1%,0.0147,-0.0392,0.0685,1.333,0.406,4.662,Exact Binomial (n=14),,0.790527,0.001613,No,floor
primary,9router_cx_gpt-5.4,elder_text_heavy,139,59,23,15,42,38,59.0%,53.2%,0.0576,-0.0285,0.1421,1.533,0.766,3.160,"Asymptotic (Edwards' correction, n=38)",1.2895,0.256145,0.000962,No,none
primary,9router_cx_gpt-5.4,elder_zoom_heavy,144,68,16,26,34,42,58.3%,65.3%,-0.0694,-0.1551,0.0180,0.615,0.308,1.191,"Asymptotic (Edwards' correction, n=42)",1.9286,0.164915,0.000877,No,none
primary,9router_cx_gpt-5.4,elder_combo_max,111,64,13,15,19,28,69.4%,71.2%,-0.0180,-0.1106,0.0750,0.867,0.380,1.952,"Asymptotic (Edwards' correction, n=28)",0.0357,0.850107,0.001724,No,none
primary,9router_cx_gpt-5.4,elder_combo_mid,123,61,20,18,24,38,65.9%,64.2%,0.0163,-0.0811,0.1131,1.111,0.558,2.228,"Asymptotic (Edwards' correction, n=38)",0.0263,0.871131,0.001786,No,none
primary,9router_cx_gpt-5.4,colorblind_deuteranomaly,136,60,17,13,46,30,56.6%,53.7%,0.0294,-0.0487,0.1068,1.308,0.598,2.928,"Asymptotic (Edwards' correction, n=30)",0.3000,0.583882,0.001316,No,none
primary,9router_cx_gpt-5.5,elder_text_heavy,139,136,2,0,1,2,99.3%,97.8%,0.0144,-0.0125,0.0513,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.001087,No,ceiling
primary,9router_cx_gpt-5.5,elder_zoom_heavy,144,139,4,1,0,5,99.3%,97.2%,0.0208,-0.0150,0.0628,4.000,0.396,196.990,Exact Binomial (n=5),,0.375000,0.001000,No,ceiling
primary,9router_cx_gpt-5.5,elder_combo_max,111,108,3,0,0,3,100.0%,97.3%,0.0270,-0.0109,0.0765,inf,0.413,inf,Exact Binomial (n=3),,0.250000,0.000926,No,ceiling
primary,9router_cx_gpt-5.5,elder_combo_mid,123,119,4,0,0,4,100.0%,96.7%,0.0325,-0.0037,0.0806,inf,0.660,inf,Exact Binomial (n=4),,0.125000,0.000820,No,ceiling
primary,9router_cx_gpt-5.5,colorblind_deuteranomaly,136,131,2,0,3,2,97.8%,96.3%,0.0147,-0.0134,0.0512,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.001111,No,ceiling
primary,9router_cx_gpt-5.6-luna,elder_text_heavy,139,127,7,4,1,11,96.4%,94.2%,0.0216,-0.0290,0.0751,1.750,0.445,8.152,Exact Binomial (n=11),,0.548828,0.001250,No,ceiling
primary,9router_cx_gpt-5.6-luna,elder_zoom_heavy,144,137,2,4,1,6,96.5%,97.9%,-0.0139,-0.0567,0.0251,0.500,0.045,3.489,Exact Binomial (n=6),,0.687500,0.001471,No,ceiling
primary,9router_cx_gpt-5.6-luna,elder_combo_max,111,103,6,1,1,7,98.2%,93.7%,0.0450,-0.0037,0.1046,6.000,0.728,275.986,Exact Binomial (n=7),,0.125000,0.000833,No,ceiling
primary,9router_cx_gpt-5.6-luna,elder_combo_mid,123,111,7,4,1,11,95.9%,93.5%,0.0244,-0.0325,0.0844,1.750,0.445,8.152,Exact Binomial (n=11),,0.548828,0.001282,No,ceiling
primary,9router_cx_gpt-5.6-luna,colorblind_deuteranomaly,136,130,0,5,1,5,95.6%,99.3%,-0.0368,-0.0835,-0.0047,0.000,0.000,1.091,Exact Binomial (n=5),,0.062500,0.000781,No,ceiling
primary,9router_cx_gpt-5.6-sol,elder_text_heavy,139,137,1,0,1,1,99.3%,98.6%,0.0072,-0.0190,0.0398,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.003846,No,ceiling
primary,9router_cx_gpt-5.6-sol,elder_zoom_heavy,144,143,0,0,1,0,99.3%,99.3%,0.0000,-0.0256,0.0256,,,,N/A (no discordant pairs),,1.000000,0.004167,No,ceiling
primary,9router_cx_gpt-5.6-sol,elder_combo_max,111,107,3,1,0,4,99.1%,97.3%,0.0180,-0.0263,0.0681,3.000,0.241,157.492,Exact Binomial (n=4),,0.625000,0.001389,No,ceiling
primary,9router_cx_gpt-5.6-sol,elder_combo_mid,123,121,1,0,1,1,99.2%,98.4%,0.0081,-0.0213,0.0448,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.004545,No,ceiling
primary,9router_cx_gpt-5.6-sol,colorblind_deuteranomaly,136,133,0,1,2,1,97.8%,98.5%,-0.0074,-0.0401,0.0195,0.000,0.000,39.000,Exact Binomial (n=1),,1.000000,0.005000,No,ceiling
primary,9router_cx_gpt-5.6-terra,elder_text_heavy,139,137,1,0,1,1,99.3%,98.6%,0.0072,-0.0190,0.0398,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.005556,No,ceiling
primary,9router_cx_gpt-5.6-terra,elder_zoom_heavy,144,141,2,0,1,2,99.3%,97.9%,0.0139,-0.0121,0.0495,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.001136,No,ceiling
primary,9router_cx_gpt-5.6-terra,elder_combo_max,111,106,4,0,1,4,99.1%,95.5%,0.0360,-0.0010,0.0893,inf,0.660,inf,Exact Binomial (n=4),,0.125000,0.000847,No,ceiling
primary,9router_cx_gpt-5.6-terra,elder_combo_mid,123,116,6,0,1,6,99.2%,94.3%,0.0488,0.0114,0.1026,inf,1.177,inf,Exact Binomial (n=6),,0.031250,0.000758,No,ceiling
primary,9router_cx_gpt-5.6-terra,colorblind_deuteranomaly,136,133,1,0,2,1,98.5%,97.8%,0.0074,-0.0195,0.0401,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.006250,No,ceiling
