Sample,Model,Profile,Total_Pairs,Both_Pass_a,Broke_It_b,Fluke_Recovery_c,Both_Fail_d,Discordant_Pairs,Baseline_Acc,Exp_Acc,Risk_Diff,Risk_Diff_CI_Low,Risk_Diff_CI_High,Odds_Ratio,OR_CI_Low,OR_CI_High,Test_Used,Statistic,P_Value,Holm_Threshold,Significant,Power_Limit
full,gpt-5.6-sol,elder_combo_mid,111,110,0,0,1,0,99.1%,99.1%,0.0000,-0.0328,0.0328,,,,N/A (no discordant pairs),,1.000000,0.008333,No,ceiling
full,gpt-5.6-sol,colorblind_deuteranomaly,136,134,0,1,1,1,98.5%,99.3%,-0.0074,-0.0407,0.0193,0.000,0.000,39.000,Exact Binomial (n=1),,1.000000,0.010000,No,ceiling
full,gpt-5.6-terra,elder_text_heavy,125,122,2,0,1,2,99.2%,97.6%,0.0160,-0.0138,0.0568,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.000980,No,ceiling
full,gpt-5.6-terra,elder_zoom_heavy,128,127,0,1,0,1,99.2%,100.0%,-0.0078,-0.0429,0.0220,0.000,0.000,39.000,Exact Binomial (n=1),,1.000000,0.012500,No,ceiling
full,gpt-5.6-terra,elder_combo_max,104,101,2,0,1,2,99.0%,97.1%,0.0192,-0.0164,0.0677,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.001000,No,ceiling
full,gpt-5.6-terra,elder_combo_mid,111,108,2,0,1,2,99.1%,97.3%,0.0180,-0.0154,0.0636,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.001020,No,ceiling
full,gpt-5.6-terra,colorblind_deuteranomaly,136,133,1,0,2,1,98.5%,97.8%,0.0074,-0.0195,0.0401,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.016667,No,ceiling
full,qwen3-vl-235b-a22b-instruct,elder_text_heavy,125,118,1,3,3,4,95.2%,96.8%,-0.0160,-0.0600,0.0221,0.333,0.006,4.151,Exact Binomial (n=4),,0.625000,0.001064,No,ceiling
full,qwen3-vl-235b-a22b-instruct,elder_zoom_heavy,128,119,3,6,0,9,95.3%,97.7%,-0.0234,-0.0778,0.0273,0.500,0.081,2.341,Exact Binomial (n=9),,0.507812,0.001042,No,ceiling
full,qwen3-vl-235b-a22b-instruct,elder_combo_max,104,96,3,4,1,7,95.2%,96.2%,-0.0096,-0.0694,0.0481,0.750,0.110,4.433,Exact Binomial (n=7),,1.000000,0.025000,No,ceiling
full,qwen3-vl-235b-a22b-instruct,elder_combo_mid,111,104,1,5,1,6,94.6%,98.2%,-0.0360,-0.0928,0.0108,0.200,0.004,1.787,Exact Binomial (n=6),,0.218750,0.000725,No,none
full,qwen3-vl-235b-a22b-instruct,colorblind_deuteranomaly,136,127,2,1,6,3,94.9%,94.1%,0.0074,-0.0259,0.0433,2.000,0.104,117.994,Exact Binomial (n=3),,1.000000,0.050000,No,none
primary,anthropic_claude-haiku-4-5,elder_text_heavy,125,101,11,5,8,16,89.6%,84.8%,0.0480,-0.0156,0.1145,2.200,0.705,8.077,Exact Binomial (n=16),,0.210114,0.000694,No,none
primary,anthropic_claude-haiku-4-5,elder_zoom_heavy,128,103,12,5,8,17,89.8%,84.4%,0.0547,-0.0089,0.1214,2.400,0.787,8.696,Exact Binomial (n=17),,0.143463,0.000676,No,none
primary,anthropic_claude-haiku-4-5,elder_combo_max,104,83,8,4,9,12,87.5%,83.7%,0.0385,-0.0287,0.1084,2.000,0.536,9.076,Exact Binomial (n=12),,0.387695,0.000833,No,none
primary,anthropic_claude-haiku-4-5,elder_combo_mid,111,87,11,5,8,16,88.3%,82.9%,0.0541,-0.0173,0.1281,2.200,0.705,8.077,Exact Binomial (n=16),,0.210114,0.000704,No,none
primary,anthropic_claude-haiku-4-5,colorblind_deuteranomaly,119,101,4,4,10,8,88.2%,88.2%,0.0000,-0.0517,0.0517,1.000,0.186,5.369,Exact Binomial (n=8),,1.000000,0.001190,No,none
primary,anthropic_claude-opus-5,elder_text_heavy,125,124,1,0,0,1,100.0%,99.2%,0.0080,-0.0225,0.0439,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001220,No,ceiling
primary,anthropic_claude-opus-5,elder_zoom_heavy,128,128,0,0,0,0,100.0%,100.0%,0.0000,-0.0291,0.0291,,,,N/A (no discordant pairs),,1.000000,0.001250,No,ceiling
primary,anthropic_claude-opus-5,elder_combo_max,104,103,1,0,0,1,100.0%,99.0%,0.0096,-0.0269,0.0525,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001282,No,ceiling
primary,anthropic_claude-opus-5,elder_combo_mid,111,111,0,0,0,0,100.0%,100.0%,0.0000,-0.0335,0.0335,,,,N/A (no discordant pairs),,1.000000,0.001316,No,ceiling
primary,anthropic_claude-opus-5,colorblind_deuteranomaly,119,118,0,1,0,1,99.2%,100.0%,-0.0084,-0.0461,0.0236,0.000,0.000,39.000,Exact Binomial (n=1),,1.000000,0.001351,No,ceiling
primary,anthropic_claude-sonnet-4-6,elder_text_heavy,125,123,0,2,0,2,98.4%,100.0%,-0.0160,-0.0565,0.0160,0.000,0.000,5.325,Exact Binomial (n=2),,0.500000,0.000862,No,ceiling
primary,anthropic_claude-sonnet-4-6,elder_zoom_heavy,128,124,2,0,2,2,98.4%,96.9%,0.0156,-0.0139,0.0549,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.000877,No,ceiling
primary,anthropic_claude-sonnet-4-6,elder_combo_max,104,94,8,1,1,9,98.1%,91.3%,0.0673,0.0112,0.1356,8.000,1.073,354.981,Exact Binomial (n=9),,0.039062,0.000649,No,ceiling
primary,anthropic_claude-sonnet-4-6,elder_combo_mid,111,106,3,0,2,3,98.2%,95.5%,0.0270,-0.0085,0.0760,inf,0.413,inf,Exact Binomial (n=3),,0.250000,0.000735,No,ceiling
primary,anthropic_claude-sonnet-4-6,colorblind_deuteranomaly,119,116,1,1,1,2,98.3%,98.3%,0.0000,-0.0379,0.0379,1.000,0.013,78.497,Exact Binomial (n=2),,1.000000,0.001389,No,ceiling
primary,anthropic_claude-sonnet-5,elder_text_heavy,125,123,1,0,1,1,99.2%,98.4%,0.0080,-0.0210,0.0441,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001429,No,ceiling
primary,anthropic_claude-sonnet-5,elder_zoom_heavy,128,126,1,0,1,1,99.2%,98.4%,0.0078,-0.0205,0.0431,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001471,No,ceiling
primary,anthropic_claude-sonnet-5,elder_combo_max,104,97,6,0,1,6,99.0%,93.3%,0.0577,0.0137,0.1204,inf,1.177,inf,Exact Binomial (n=6),,0.031250,0.000641,No,ceiling
primary,anthropic_claude-sonnet-5,elder_combo_mid,111,108,2,0,1,2,99.1%,97.3%,0.0180,-0.0154,0.0636,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.000893,No,ceiling
primary,anthropic_claude-sonnet-5,colorblind_deuteranomaly,119,115,3,0,1,3,99.2%,96.6%,0.0252,-0.0076,0.0718,inf,0.413,inf,Exact Binomial (n=3),,0.250000,0.000746,No,ceiling
primary,gemini-3-flash-agent,elder_text_heavy,125,124,1,0,0,1,100.0%,99.2%,0.0080,-0.0225,0.0439,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001515,No,ceiling
primary,gemini-3-flash-agent,elder_zoom_heavy,128,126,2,0,0,2,100.0%,98.4%,0.0156,-0.0156,0.0552,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.000909,No,ceiling
primary,gemini-3-flash-agent,elder_combo_max,104,103,1,0,0,1,100.0%,99.0%,0.0096,-0.0269,0.0525,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001563,No,ceiling
primary,gemini-3-flash-agent,elder_combo_mid,111,110,1,0,0,1,100.0%,99.1%,0.0090,-0.0253,0.0493,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001613,No,ceiling
primary,gemini-3-flash-agent,colorblind_deuteranomaly,119,119,0,0,0,0,100.0%,100.0%,0.0000,-0.0313,0.0313,,,,N/A (no discordant pairs),,1.000000,0.001667,No,ceiling
primary,gemini-3-flash,elder_text_heavy,125,124,1,0,0,1,100.0%,99.2%,0.0080,-0.0225,0.0439,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001724,No,ceiling
primary,gemini-3-flash,elder_zoom_heavy,128,127,1,0,0,1,100.0%,99.2%,0.0078,-0.0220,0.0429,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001786,No,ceiling
primary,gemini-3-flash,elder_combo_max,104,104,0,0,0,0,100.0%,100.0%,0.0000,-0.0356,0.0356,,,,N/A (no discordant pairs),,1.000000,0.001852,No,ceiling
primary,gemini-3-flash,elder_combo_mid,111,110,1,0,0,1,100.0%,99.1%,0.0090,-0.0253,0.0493,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001923,No,ceiling
primary,gemini-3-flash,colorblind_deuteranomaly,119,118,1,0,0,1,100.0%,99.2%,0.0084,-0.0236,0.0461,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.002000,No,ceiling
primary,gemini-3.5-flash-low,elder_text_heavy,125,124,0,0,1,0,99.2%,99.2%,0.0000,-0.0293,0.0293,,,,N/A (no discordant pairs),,1.000000,0.002083,No,ceiling
primary,gemini-3.5-flash-low,elder_zoom_heavy,128,127,0,1,0,1,99.2%,100.0%,-0.0078,-0.0429,0.0220,0.000,0.000,39.000,Exact Binomial (n=1),,1.000000,0.002174,No,ceiling
primary,gemini-3.5-flash-low,elder_combo_max,104,103,0,1,0,1,99.0%,100.0%,-0.0096,-0.0525,0.0269,0.000,0.000,39.000,Exact Binomial (n=1),,1.000000,0.002273,No,ceiling
primary,gemini-3.5-flash-low,elder_combo_mid,111,110,0,1,0,1,99.1%,100.0%,-0.0090,-0.0493,0.0253,0.000,0.000,39.000,Exact Binomial (n=1),,1.000000,0.002381,No,ceiling
primary,gemini-3.5-flash-low,colorblind_deuteranomaly,119,118,0,1,0,1,99.2%,100.0%,-0.0084,-0.0461,0.0236,0.000,0.000,39.000,Exact Binomial (n=1),,1.000000,0.002500,No,ceiling
primary,gemini-pro-agent,elder_text_heavy,125,122,3,0,0,3,100.0%,97.6%,0.0240,-0.0097,0.0682,inf,0.413,inf,Exact Binomial (n=3),,0.250000,0.000758,No,ceiling
primary,gemini-pro-agent,elder_zoom_heavy,128,125,3,0,0,3,100.0%,97.7%,0.0234,-0.0095,0.0666,inf,0.413,inf,Exact Binomial (n=3),,0.250000,0.000769,No,ceiling
primary,gemini-pro-agent,elder_combo_max,104,101,3,0,0,3,100.0%,97.1%,0.0288,-0.0115,0.0814,inf,0.413,inf,Exact Binomial (n=3),,0.250000,0.000781,No,ceiling
primary,gemini-pro-agent,elder_combo_mid,111,109,2,0,0,2,100.0%,98.2%,0.0180,-0.0179,0.0633,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.000926,No,ceiling
primary,gemini-pro-agent,colorblind_deuteranomaly,119,116,2,1,0,3,99.2%,98.3%,0.0084,-0.0313,0.0515,2.000,0.104,117.994,Exact Binomial (n=3),,1.000000,0.002632,No,ceiling
primary,glm-5v-turbo,elder_text_heavy,125,113,5,6,1,11,94.4%,95.2%,-0.0080,-0.0663,0.0492,0.833,0.201,3.277,Exact Binomial (n=11),,1.000000,0.002778,No,none
primary,glm-5v-turbo,elder_zoom_heavy,128,112,9,5,2,14,94.5%,91.4%,0.0312,-0.0288,0.0942,1.800,0.542,6.837,Exact Binomial (n=14),,0.423950,0.000847,No,none
primary,glm-5v-turbo,elder_combo_max,104,86,11,5,2,16,93.3%,87.5%,0.0577,-0.0193,0.1380,2.200,0.705,8.077,Exact Binomial (n=16),,0.210114,0.000714,No,none
primary,glm-5v-turbo,elder_combo_mid,111,98,6,5,2,11,93.7%,92.8%,0.0090,-0.0549,0.0740,1.200,0.305,4.971,Exact Binomial (n=11),,1.000000,0.002941,No,none
primary,glm-5v-turbo,colorblind_deuteranomaly,119,106,5,4,4,9,93.3%,92.4%,0.0084,-0.0464,0.0646,1.250,0.269,6.300,Exact Binomial (n=9),,1.000000,0.003125,No,none
primary,gpt-5.4-mini,elder_text_heavy,125,43,17,4,61,21,48.0%,37.6%,0.1040,0.0343,0.1715,4.250,1.386,17.361,Exact Binomial (n=21),,0.007197,0.000625,No,floor
primary,gpt-5.4-mini,elder_zoom_heavy,128,52,8,11,57,19,46.9%,49.2%,-0.0234,-0.0888,0.0425,0.727,0.254,1.985,Exact Binomial (n=19),,0.647606,0.001087,No,floor
primary,gpt-5.4-mini,elder_combo_max,104,51,9,12,32,21,57.7%,60.6%,-0.0288,-0.1133,0.0564,0.750,0.279,1.939,Exact Binomial (n=21),,0.663624,0.001136,No,none
primary,gpt-5.4-mini,elder_combo_mid,111,46,13,7,45,20,53.2%,47.7%,0.0541,-0.0237,0.1303,1.857,0.689,5.497,Exact Binomial (n=20),,0.263176,0.000820,No,none
primary,gpt-5.4-mini,colorblind_deuteranomaly,119,46,12,2,59,14,48.7%,40.3%,0.0840,0.0243,0.1421,6.000,1.336,55.197,Exact Binomial (n=14),,0.012939,0.000633,No,floor
primary,gpt-5.4,elder_text_heavy,125,90,11,8,16,19,80.8%,78.4%,0.0240,-0.0452,0.0937,1.375,0.504,3.938,Exact Binomial (n=19),,0.647606,0.001111,No,none
primary,gpt-5.4,elder_zoom_heavy,128,94,9,17,8,26,80.5%,86.7%,-0.0625,-0.1416,0.0158,0.529,0.208,1.256,"Asymptotic (Edwards' correction, n=26)",1.8846,0.169811,0.000685,No,none
primary,gpt-5.4,elder_combo_max,104,82,9,7,6,16,87.5%,85.6%,0.0192,-0.0587,0.0981,1.286,0.426,4.062,Exact Binomial (n=16),,0.803619,0.001163,No,none
