Sample,Model,Profile,Total_Pairs,Both_Pass_a,Broke_It_b,Fluke_Recovery_c,Both_Fail_d,Discordant_Pairs,Baseline_Acc,Exp_Acc,Risk_Diff,Risk_Diff_CI_Low,Risk_Diff_CI_High,Odds_Ratio,OR_CI_Low,OR_CI_High,Test_Used,Statistic,P_Value,Holm_Threshold,Significant,Power_Limit
full,gemini-3-flash-agent,elder_text_heavy,125,121,4,0,0,4,100.0%,96.8%,0.0320,-0.0036,0.0794,inf,0.660,inf,Exact Binomial (n=4),,0.125000,0.000714,No,ceiling
full,gemini-3-flash-agent,elder_zoom_heavy,128,127,1,0,0,1,100.0%,99.2%,0.0078,-0.0220,0.0429,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001429,No,ceiling
full,gemini-3-flash-agent,elder_combo_max,104,103,1,0,0,1,100.0%,99.0%,0.0096,-0.0269,0.0525,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001471,No,ceiling
full,gemini-3-flash-agent,elder_combo_mid,111,111,0,0,0,0,100.0%,100.0%,0.0000,-0.0335,0.0335,,,,N/A (no discordant pairs),,1.000000,0.001515,No,ceiling
full,gemini-3-flash-agent,colorblind_deuteranomaly,136,135,1,0,0,1,100.0%,99.3%,0.0074,-0.0208,0.0405,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001563,No,ceiling
full,gemini-3-flash,elder_text_heavy,125,124,0,0,1,0,99.2%,99.2%,0.0000,-0.0293,0.0293,,,,N/A (no discordant pairs),,1.000000,0.001613,No,ceiling
full,gemini-3-flash,elder_zoom_heavy,128,126,1,0,1,1,99.2%,98.4%,0.0078,-0.0205,0.0431,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001667,No,ceiling
full,gemini-3-flash,elder_combo_max,104,102,1,1,0,2,99.0%,99.0%,0.0000,-0.0437,0.0437,1.000,0.013,78.497,Exact Binomial (n=2),,1.000000,0.001724,No,ceiling
full,gemini-3-flash,elder_combo_mid,111,110,0,1,0,1,99.1%,100.0%,-0.0090,-0.0493,0.0253,0.000,0.000,39.000,Exact Binomial (n=1),,1.000000,0.001786,No,ceiling
full,gemini-3-flash,colorblind_deuteranomaly,136,135,0,1,0,1,99.3%,100.0%,-0.0074,-0.0405,0.0208,0.000,0.000,39.000,Exact Binomial (n=1),,1.000000,0.001852,No,ceiling
full,gemini-3.5-flash-low,elder_text_heavy,125,122,1,2,0,3,98.4%,99.2%,-0.0080,-0.0491,0.0299,0.500,0.008,9.605,Exact Binomial (n=3),,1.000000,0.001923,No,ceiling
full,gemini-3.5-flash-low,elder_zoom_heavy,128,126,0,2,0,2,98.4%,100.0%,-0.0156,-0.0552,0.0156,0.000,0.000,5.325,Exact Binomial (n=2),,0.500000,0.000943,No,ceiling
full,gemini-3.5-flash-low,elder_combo_max,104,101,1,2,0,3,98.1%,99.0%,-0.0096,-0.0586,0.0356,0.500,0.008,9.605,Exact Binomial (n=3),,1.000000,0.002000,No,ceiling
full,gemini-3.5-flash-low,elder_combo_mid,111,109,0,2,0,2,98.2%,100.0%,-0.0180,-0.0633,0.0179,0.000,0.000,5.325,Exact Binomial (n=2),,0.500000,0.000962,No,ceiling
full,gemini-3.5-flash-low,colorblind_deuteranomaly,136,133,1,1,1,2,98.5%,98.5%,0.0000,-0.0334,0.0334,1.000,0.013,78.497,Exact Binomial (n=2),,1.000000,0.002083,No,ceiling
full,gemini-pro-agent,elder_text_heavy,125,118,3,2,2,5,96.8%,96.0%,0.0080,-0.0349,0.0535,1.500,0.172,17.959,Exact Binomial (n=5),,1.000000,0.002174,No,ceiling
full,gemini-pro-agent,elder_zoom_heavy,128,122,2,3,1,5,96.9%,97.7%,-0.0078,-0.0526,0.0345,0.667,0.056,5.820,Exact Binomial (n=5),,1.000000,0.002273,No,ceiling
full,gemini-pro-agent,elder_combo_max,104,94,6,3,1,9,96.2%,93.3%,0.0288,-0.0327,0.0948,2.000,0.427,12.359,Exact Binomial (n=9),,0.507812,0.001042,No,ceiling
full,gemini-pro-agent,elder_combo_mid,111,106,1,2,2,3,96.4%,97.3%,-0.0090,-0.0544,0.0322,0.500,0.008,9.605,Exact Binomial (n=3),,1.000000,0.002381,No,ceiling
full,gemini-pro-agent,colorblind_deuteranomaly,136,129,3,4,0,7,97.1%,97.8%,-0.0074,-0.0538,0.0376,0.750,0.110,4.433,Exact Binomial (n=7),,1.000000,0.002500,No,ceiling
full,glm-5v-turbo,elder_text_heavy,125,120,3,2,0,5,98.4%,97.6%,0.0080,-0.0357,0.0539,1.500,0.172,17.959,Exact Binomial (n=5),,1.000000,0.002632,No,ceiling
full,glm-5v-turbo,elder_zoom_heavy,128,123,3,2,0,5,98.4%,97.7%,0.0078,-0.0349,0.0527,1.500,0.172,17.959,Exact Binomial (n=5),,1.000000,0.002778,No,ceiling
full,glm-5v-turbo,elder_combo_max,104,101,1,1,1,2,98.1%,98.1%,0.0000,-0.0431,0.0431,1.000,0.013,78.497,Exact Binomial (n=2),,1.000000,0.002941,No,ceiling
full,glm-5v-turbo,elder_combo_mid,111,108,1,2,0,3,98.2%,99.1%,-0.0090,-0.0550,0.0335,0.500,0.008,9.605,Exact Binomial (n=3),,1.000000,0.003125,No,ceiling
full,glm-5v-turbo,colorblind_deuteranomaly,136,131,3,2,0,5,98.5%,97.8%,0.0074,-0.0329,0.0497,1.500,0.172,17.959,Exact Binomial (n=5),,1.000000,0.003333,No,ceiling
full,gpt-5.4-mini,elder_text_heavy,125,34,12,6,73,18,36.8%,32.0%,0.0480,-0.0179,0.1134,2.000,0.695,6.495,Exact Binomial (n=18),,0.237885,0.000769,No,floor
full,gpt-5.4-mini,elder_zoom_heavy,128,37,9,8,74,17,35.9%,35.2%,0.0078,-0.0550,0.0705,1.125,0.385,3.351,Exact Binomial (n=17),,1.000000,0.003571,No,floor
full,gpt-5.4-mini,elder_combo_max,104,30,16,11,47,27,44.2%,39.4%,0.0481,-0.0487,0.1432,1.455,0.634,3.466,"Asymptotic (Edwards' correction, n=27)",0.5926,0.441418,0.000893,No,floor
full,gpt-5.4-mini,elder_combo_mid,111,30,15,7,59,22,40.5%,33.3%,0.0721,-0.0096,0.1521,2.143,0.822,6.213,Exact Binomial (n=22),,0.133801,0.000735,No,floor
full,gpt-5.4-mini,colorblind_deuteranomaly,136,35,12,6,83,18,34.6%,30.1%,0.0441,-0.0166,0.1047,2.000,0.695,6.495,Exact Binomial (n=18),,0.237885,0.000781,No,floor
full,gpt-5.4,elder_text_heavy,125,52,22,14,37,36,59.2%,52.8%,0.0640,-0.0291,0.1551,1.571,0.769,3.321,"Asymptotic (Edwards' correction, n=36)",1.3611,0.243345,0.000794,No,none
full,gpt-5.4,elder_zoom_heavy,128,61,14,25,28,39,58.6%,67.2%,-0.0859,-0.1781,0.0087,0.560,0.269,1.120,"Asymptotic (Edwards' correction, n=39)",2.5641,0.109315,0.000694,No,none
full,gpt-5.4,elder_combo_max,104,60,11,15,18,26,68.3%,72.1%,-0.0385,-0.1332,0.0571,0.733,0.305,1.709,"Asymptotic (Edwards' correction, n=26)",0.3462,0.556298,0.001087,No,none
full,gpt-5.4,elder_combo_mid,111,55,18,18,20,36,65.8%,65.8%,0.0000,-0.1047,0.1047,1.000,0.491,2.037,"Asymptotic (Edwards' correction, n=36)",0.0278,0.867632,0.001136,No,none
full,gpt-5.4,colorblind_deuteranomaly,136,57,19,12,48,31,55.9%,50.7%,0.0515,-0.0279,0.1295,1.583,0.730,3.577,"Asymptotic (Edwards' correction, n=31)",1.1613,0.281198,0.000862,No,none
full,gpt-5.5,elder_text_heavy,125,124,1,0,0,1,100.0%,99.2%,0.0080,-0.0225,0.0439,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.003846,No,ceiling
full,gpt-5.5,elder_zoom_heavy,128,125,3,0,0,3,100.0%,97.7%,0.0234,-0.0095,0.0666,inf,0.413,inf,Exact Binomial (n=3),,0.250000,0.000820,No,ceiling
full,gpt-5.5,elder_combo_max,104,101,3,0,0,3,100.0%,97.1%,0.0288,-0.0115,0.0814,inf,0.413,inf,Exact Binomial (n=3),,0.250000,0.000833,No,ceiling
full,gpt-5.5,elder_combo_mid,111,109,2,0,0,2,100.0%,98.2%,0.0180,-0.0179,0.0633,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.000980,No,ceiling
full,gpt-5.5,colorblind_deuteranomaly,136,133,2,0,1,2,99.3%,97.8%,0.0147,-0.0128,0.0524,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.001000,No,ceiling
full,gpt-5.6-luna,elder_text_heavy,125,115,5,4,1,9,96.0%,95.2%,0.0080,-0.0450,0.0624,1.250,0.269,6.300,Exact Binomial (n=9),,1.000000,0.004167,No,ceiling
full,gpt-5.6-luna,elder_zoom_heavy,128,121,2,4,1,6,96.1%,97.7%,-0.0156,-0.0635,0.0281,0.500,0.045,3.489,Exact Binomial (n=6),,0.687500,0.001111,No,ceiling
full,gpt-5.6-luna,elder_combo_max,104,97,5,1,1,6,98.1%,94.2%,0.0385,-0.0114,0.0988,5.000,0.559,236.488,Exact Binomial (n=6),,0.218750,0.000746,No,ceiling
full,gpt-5.6-luna,elder_combo_mid,111,101,5,4,1,9,95.5%,94.6%,0.0090,-0.0504,0.0699,1.250,0.269,6.300,Exact Binomial (n=9),,1.000000,0.004545,No,ceiling
full,gpt-5.6-luna,colorblind_deuteranomaly,136,128,2,6,0,8,95.6%,98.5%,-0.0294,-0.0796,0.0153,0.333,0.033,1.864,Exact Binomial (n=8),,0.289062,0.000877,No,ceiling
full,gpt-5.6-sol,elder_text_heavy,125,124,0,0,1,0,99.2%,99.2%,0.0000,-0.0293,0.0293,,,,N/A (no discordant pairs),,1.000000,0.005000,No,ceiling
full,gpt-5.6-sol,elder_zoom_heavy,128,127,0,0,1,0,99.2%,99.2%,0.0000,-0.0287,0.0287,,,,N/A (no discordant pairs),,1.000000,0.005556,No,ceiling
full,gpt-5.6-sol,elder_combo_max,104,101,2,1,0,3,99.0%,98.1%,0.0096,-0.0356,0.0586,2.000,0.104,117.994,Exact Binomial (n=3),,1.000000,0.006250,No,ceiling
full,gpt-5.6-sol,elder_combo_mid,111,110,0,0,1,0,99.1%,99.1%,0.0000,-0.0328,0.0328,,,,N/A (no discordant pairs),,1.000000,0.007143,No,ceiling
full,gpt-5.6-sol,colorblind_deuteranomaly,136,134,0,1,1,1,98.5%,99.3%,-0.0074,-0.0407,0.0193,0.000,0.000,39.000,Exact Binomial (n=1),,1.000000,0.008333,No,ceiling
full,gpt-5.6-terra,elder_text_heavy,125,124,0,0,1,0,99.2%,99.2%,0.0000,-0.0293,0.0293,,,,N/A (no discordant pairs),,1.000000,0.010000,No,ceiling
full,gpt-5.6-terra,elder_zoom_heavy,128,125,2,0,1,2,99.2%,97.7%,0.0156,-0.0135,0.0555,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.001020,No,ceiling
full,gpt-5.6-terra,elder_combo_max,104,100,3,0,1,3,99.0%,96.2%,0.0288,-0.0085,0.0817,inf,0.413,inf,Exact Binomial (n=3),,0.250000,0.000847,No,ceiling
full,gpt-5.6-terra,elder_combo_mid,111,106,4,0,1,4,99.1%,95.5%,0.0360,-0.0010,0.0893,inf,0.660,inf,Exact Binomial (n=4),,0.125000,0.000725,No,ceiling
full,gpt-5.6-terra,colorblind_deuteranomaly,136,135,0,0,1,0,99.3%,99.3%,0.0000,-0.0271,0.0271,,,,N/A (no discordant pairs),,1.000000,0.012500,No,ceiling
full,local_ferret-ui-llama8b,elder_text_heavy,125,106,4,3,12,7,88.0%,87.2%,0.0080,-0.0380,0.0551,1.333,0.226,9.102,Exact Binomial (n=7),,1.000000,0.016667,No,none
full,local_ferret-ui-llama8b,elder_zoom_heavy,128,110,3,6,9,9,88.3%,90.6%,-0.0234,-0.0756,0.0256,0.500,0.081,2.341,Exact Binomial (n=9),,0.507812,0.001064,No,none
full,local_ferret-ui-llama8b,elder_combo_max,104,87,2,9,6,11,85.6%,92.3%,-0.0673,-0.1369,-0.0050,0.222,0.023,1.074,Exact Binomial (n=11),,0.065430,0.000676,No,none
full,local_ferret-ui-llama8b,elder_combo_mid,111,94,2,5,10,7,86.5%,89.2%,-0.0270,-0.0811,0.0232,0.400,0.038,2.443,Exact Binomial (n=7),,0.453125,0.000926,No,none
full,local_ferret-ui-llama8b,colorblind_deuteranomaly,136,118,2,3,13,5,88.2%,89.0%,-0.0074,-0.0462,0.0302,0.667,0.056,5.820,Exact Binomial (n=5),,1.000000,0.025000,No,none
full,qwen3-vl-235b-a22b-instruct,elder_text_heavy,125,113,5,1,6,6,94.4%,91.2%,0.0320,-0.0094,0.0808,5.000,0.559,236.488,Exact Binomial (n=6),,0.218750,0.000758,No,none
full,qwen3-vl-235b-a22b-instruct,elder_zoom_heavy,128,109,12,1,6,13,94.5%,85.9%,0.0859,0.0338,0.1478,12.000,1.775,512.973,Exact Binomial (n=13),,0.003418,0.000602,No,none
full,qwen3-vl-235b-a22b-instruct,elder_combo_max,104,84,13,3,4,16,93.3%,83.7%,0.0962,0.0224,0.1758,4.333,1.191,23.707,Exact Binomial (n=16),,0.021271,0.000633,No,none
full,qwen3-vl-235b-a22b-instruct,elder_combo_mid,111,92,12,3,4,15,93.7%,85.6%,0.0811,0.0136,0.1548,4.000,1.079,22.088,Exact Binomial (n=15),,0.035156,0.000667,No,none
full,qwen3-vl-235b-a22b-instruct,colorblind_deuteranomaly,136,124,4,3,5,7,94.1%,93.4%,0.0074,-0.0365,0.0527,1.333,0.226,9.102,Exact Binomial (n=7),,1.000000,0.050000,No,none
primary,anthropic_claude-haiku-4-5,elder_text_heavy,125,104,10,1,10,11,91.2%,84.0%,0.0720,0.0215,0.1301,10.000,1.423,433.977,Exact Binomial (n=11),,0.011719,0.000610,No,none
primary,anthropic_claude-haiku-4-5,elder_zoom_heavy,128,108,9,8,3,17,91.4%,90.6%,0.0078,-0.0586,0.0747,1.125,0.385,3.351,Exact Binomial (n=17),,1.000000,0.001163,No,none
primary,anthropic_claude-haiku-4-5,elder_combo_max,104,82,11,2,9,13,89.4%,80.8%,0.0865,0.0203,0.1587,5.500,1.200,51.065,Exact Binomial (n=13),,0.022461,0.000649,No,none
primary,anthropic_claude-haiku-4-5,elder_combo_mid,111,88,12,4,7,16,90.1%,82.9%,0.0721,0.0017,0.1464,3.000,0.909,12.762,Exact Binomial (n=16),,0.076813,0.000694,No,none
primary,anthropic_claude-haiku-4-5,colorblind_deuteranomaly,119,103,4,2,10,6,89.9%,88.2%,0.0168,-0.0282,0.0648,2.000,0.287,22.110,Exact Binomial (n=6),,0.687500,0.001064,No,none
primary,anthropic_claude-opus-5,elder_text_heavy,125,125,0,0,0,0,100.0%,100.0%,0.0000,-0.0298,0.0298,,,,N/A (no discordant pairs),,1.000000,0.001190,No,ceiling
primary,anthropic_claude-opus-5,elder_zoom_heavy,128,127,1,0,0,1,100.0%,99.2%,0.0078,-0.0220,0.0429,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001220,No,ceiling
primary,anthropic_claude-opus-5,elder_combo_max,104,103,1,0,0,1,100.0%,99.0%,0.0096,-0.0269,0.0525,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001250,No,ceiling
primary,anthropic_claude-opus-5,elder_combo_mid,111,111,0,0,0,0,100.0%,100.0%,0.0000,-0.0335,0.0335,,,,N/A (no discordant pairs),,1.000000,0.001282,No,ceiling
primary,anthropic_claude-opus-5,colorblind_deuteranomaly,119,118,0,1,0,1,99.2%,100.0%,-0.0084,-0.0461,0.0236,0.000,0.000,39.000,Exact Binomial (n=1),,1.000000,0.001316,No,ceiling
primary,anthropic_claude-sonnet-4-6,elder_text_heavy,125,117,4,0,4,4,96.8%,93.6%,0.0320,-0.0021,0.0779,inf,0.660,inf,Exact Binomial (n=4),,0.125000,0.000714,No,ceiling
primary,anthropic_claude-sonnet-4-6,elder_zoom_heavy,128,113,11,2,2,13,96.9%,89.8%,0.0703,0.0161,0.1331,5.500,1.200,51.065,Exact Binomial (n=13),,0.022461,0.000658,No,ceiling
primary,anthropic_claude-sonnet-4-6,elder_combo_max,104,67,33,1,3,34,96.2%,65.4%,0.3077,0.2145,0.4020,33.000,5.525,1342.428,"Asymptotic (Edwards' correction, n=34)",28.2647,0.000000,0.000588,Yes,ceiling
primary,anthropic_claude-sonnet-4-6,elder_combo_mid,111,83,24,0,4,24,96.4%,74.8%,0.2162,0.1427,0.2997,inf,6.019,inf,Exact Binomial (n=24),,0.000000,0.000595,Yes,ceiling
primary,anthropic_claude-sonnet-4-6,colorblind_deuteranomaly,119,114,1,2,2,3,96.6%,97.5%,-0.0084,-0.0509,0.0302,0.500,0.008,9.605,Exact Binomial (n=3),,1.000000,0.001351,No,ceiling
primary,anthropic_claude-sonnet-5,elder_text_heavy,125,121,1,2,1,3,97.6%,98.4%,-0.0080,-0.0490,0.0291,0.500,0.008,9.605,Exact Binomial (n=3),,1.000000,0.001389,No,ceiling
primary,anthropic_claude-sonnet-5,elder_zoom_heavy,128,116,9,1,2,10,97.7%,91.4%,0.0625,0.0154,0.1208,9.000,1.247,394.479,Exact Binomial (n=10),,0.021484,0.000641,No,ceiling
primary,anthropic_claude-sonnet-5,elder_combo_max,104,91,10,1,2,11,97.1%,88.5%,0.0865,0.0268,0.1587,10.000,1.423,433.977,Exact Binomial (n=11),,0.011719,0.000617,No,ceiling
primary,anthropic_claude-sonnet-5,elder_combo_mid,111,101,7,0,3,7,97.3%,91.0%,0.0631,0.0188,0.1234,inf,1.441,inf,Exact Binomial (n=7),,0.015625,0.000625,No,ceiling
primary,anthropic_claude-sonnet-5,colorblind_deuteranomaly,119,115,0,3,1,3,96.6%,99.2%,-0.0252,-0.0718,0.0076,0.000,0.000,2.420,Exact Binomial (n=3),,0.250000,0.000806,No,ceiling
primary,gemini-3-flash-agent,elder_text_heavy,125,121,4,0,0,4,100.0%,96.8%,0.0320,-0.0036,0.0794,inf,0.660,inf,Exact Binomial (n=4),,0.125000,0.000725,No,ceiling
primary,gemini-3-flash-agent,elder_zoom_heavy,128,127,1,0,0,1,100.0%,99.2%,0.0078,-0.0220,0.0429,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001429,No,ceiling
primary,gemini-3-flash-agent,elder_combo_max,104,103,1,0,0,1,100.0%,99.0%,0.0096,-0.0269,0.0525,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001471,No,ceiling
primary,gemini-3-flash-agent,elder_combo_mid,111,111,0,0,0,0,100.0%,100.0%,0.0000,-0.0335,0.0335,,,,N/A (no discordant pairs),,1.000000,0.001515,No,ceiling
primary,gemini-3-flash-agent,colorblind_deuteranomaly,119,119,0,0,0,0,100.0%,100.0%,0.0000,-0.0313,0.0313,,,,N/A (no discordant pairs),,1.000000,0.001563,No,ceiling
primary,gemini-3-flash,elder_text_heavy,125,124,0,0,1,0,99.2%,99.2%,0.0000,-0.0293,0.0293,,,,N/A (no discordant pairs),,1.000000,0.001613,No,ceiling
primary,gemini-3-flash,elder_zoom_heavy,128,126,1,0,1,1,99.2%,98.4%,0.0078,-0.0205,0.0431,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001667,No,ceiling
primary,gemini-3-flash,elder_combo_max,104,102,1,1,0,2,99.0%,99.0%,0.0000,-0.0437,0.0437,1.000,0.013,78.497,Exact Binomial (n=2),,1.000000,0.001724,No,ceiling
primary,gemini-3-flash,elder_combo_mid,111,110,0,1,0,1,99.1%,100.0%,-0.0090,-0.0493,0.0253,0.000,0.000,39.000,Exact Binomial (n=1),,1.000000,0.001786,No,ceiling
primary,gemini-3-flash,colorblind_deuteranomaly,119,118,0,1,0,1,99.2%,100.0%,-0.0084,-0.0461,0.0236,0.000,0.000,39.000,Exact Binomial (n=1),,1.000000,0.001852,No,ceiling
primary,gemini-3.5-flash-low,elder_text_heavy,125,122,1,2,0,3,98.4%,99.2%,-0.0080,-0.0491,0.0299,0.500,0.008,9.605,Exact Binomial (n=3),,1.000000,0.001923,No,ceiling
primary,gemini-3.5-flash-low,elder_zoom_heavy,128,126,0,2,0,2,98.4%,100.0%,-0.0156,-0.0552,0.0156,0.000,0.000,5.325,Exact Binomial (n=2),,0.500000,0.000893,No,ceiling
primary,gemini-3.5-flash-low,elder_combo_max,104,101,1,2,0,3,98.1%,99.0%,-0.0096,-0.0586,0.0356,0.500,0.008,9.605,Exact Binomial (n=3),,1.000000,0.002000,No,ceiling
primary,gemini-3.5-flash-low,elder_combo_mid,111,109,0,2,0,2,98.2%,100.0%,-0.0180,-0.0633,0.0179,0.000,0.000,5.325,Exact Binomial (n=2),,0.500000,0.000909,No,ceiling
primary,gemini-3.5-flash-low,colorblind_deuteranomaly,119,117,0,1,1,1,98.3%,99.2%,-0.0084,-0.0463,0.0219,0.000,0.000,39.000,Exact Binomial (n=1),,1.000000,0.002083,No,ceiling
primary,gemini-pro-agent,elder_text_heavy,125,118,3,2,2,5,96.8%,96.0%,0.0080,-0.0349,0.0535,1.500,0.172,17.959,Exact Binomial (n=5),,1.000000,0.002174,No,ceiling
primary,gemini-pro-agent,elder_zoom_heavy,128,122,2,3,1,5,96.9%,97.7%,-0.0078,-0.0526,0.0345,0.667,0.056,5.820,Exact Binomial (n=5),,1.000000,0.002273,No,ceiling
primary,gemini-pro-agent,elder_combo_max,104,94,6,3,1,9,96.2%,93.3%,0.0288,-0.0327,0.0948,2.000,0.427,12.359,Exact Binomial (n=9),,0.507812,0.000980,No,ceiling
primary,gemini-pro-agent,elder_combo_mid,111,106,1,2,2,3,96.4%,97.3%,-0.0090,-0.0544,0.0322,0.500,0.008,9.605,Exact Binomial (n=3),,1.000000,0.002381,No,ceiling
primary,gemini-pro-agent,colorblind_deuteranomaly,119,112,3,4,0,7,96.6%,97.5%,-0.0084,-0.0612,0.0428,0.750,0.110,4.433,Exact Binomial (n=7),,1.000000,0.002500,No,ceiling
primary,glm-5v-turbo,elder_text_heavy,125,120,3,2,0,5,98.4%,97.6%,0.0080,-0.0357,0.0539,1.500,0.172,17.959,Exact Binomial (n=5),,1.000000,0.002632,No,ceiling
primary,glm-5v-turbo,elder_zoom_heavy,128,123,3,2,0,5,98.4%,97.7%,0.0078,-0.0349,0.0527,1.500,0.172,17.959,Exact Binomial (n=5),,1.000000,0.002778,No,ceiling
primary,glm-5v-turbo,elder_combo_max,104,101,1,1,1,2,98.1%,98.1%,0.0000,-0.0431,0.0431,1.000,0.013,78.497,Exact Binomial (n=2),,1.000000,0.002941,No,ceiling
primary,glm-5v-turbo,elder_combo_mid,111,108,1,2,0,3,98.2%,99.1%,-0.0090,-0.0550,0.0335,0.500,0.008,9.605,Exact Binomial (n=3),,1.000000,0.003125,No,ceiling
primary,glm-5v-turbo,colorblind_deuteranomaly,119,115,2,2,0,4,98.3%,98.3%,0.0000,-0.0443,0.0443,1.000,0.072,13.796,Exact Binomial (n=4),,1.000000,0.003333,No,ceiling
primary,gpt-5.4-mini,elder_text_heavy,125,34,12,6,73,18,36.8%,32.0%,0.0480,-0.0179,0.1134,2.000,0.695,6.495,Exact Binomial (n=18),,0.237885,0.000781,No,floor
